#{"t_start": 1778815119.3352435, "env_id": "None"}
r,l,t
0.0,1,0.54085
0.0,1,0.54248
0.0,1,0.544429
0.0,1,0.545241
0.0,3,0.546817
0.0,1,0.547582
0.0,1,0.548244
0.0,2,0.549232
0.0,1,0.550009
0.0,4,0.551827
0.0,1,0.55249
0.0,1,0.553422
0.0,4,0.556816
0.0,1,0.557731
0.0,1,0.558488
0.0,4,0.560612
0.0,3,0.562013
0.0,2,0.563151
0.0,3,0.564601
0.0,1,0.56523
0.0,3,0.566978
0.0,1,0.567863
0.0,1,0.568804
0.0,3,0.571331
0.0,1,0.572334
0.0,1,0.573217
0.0,2,0.574623
0.0,1,0.575618
0.0,2,0.57687
0.0,2,0.578433
0.0,1,0.579312
0.0,2,0.580478
0.0,1,0.581161
0.0,1,0.582081
0.0,6,0.587097
0.0,1,0.588595
0.0,1,0.589652
0.0,1,0.590666
0.0,5,0.59346
0.0,1,0.594242
0.0,4,0.59612
0.0,5,0.598158
0.0,1,0.598957
0.0,1,0.600386
0.0,1,0.601515
0.0,1,0.603276
0.0,1,0.604319
0.0,3,0.60573
0.0,1,0.606463
0.0,2,0.607549
0.0,1,0.608324
0.0,1,0.608887
0.0,4,0.610694
0.0,1,0.611375
0.0,1,0.611928
0.0,1,0.612707
0.0,2,0.613746
0.0,1,0.614739
0.0,1,0.616459
0.0,1,0.617756
0.0,3,0.619817
0.0,1,0.620535
0.0,2,0.621834
0.0,1,0.622454
0.0,3,0.623924
0.0,4,0.625666
0.0,5,0.627787
0.0,2,0.62963
0.0,1,0.63122
0.0,3,0.634256
0.0,1,0.635348
0.0,2,0.636959
0.0,1,0.637711
0.0,1,0.63855
0.0,1,0.639216
0.0,1,0.639952
0.0,3,0.641296
0.0,1,0.642004
0.0,1,0.642963
0.0,1,0.64376
0.0,1,0.644443
0.0,2,0.646456
0.0,1,0.647758
0.0,1,0.649142
0.0,1,0.65041
0.0,2,0.652002
0.0,1,0.652752
0.0,1,0.653467
0.0,6,0.656078
0.0,1,0.656998
0.0,1,0.657741
0.0,2,0.658928
0.0,4,0.661515
0.0,5,0.665279
0.0,1,0.665939
0.0,1,0.666664
0.0,1,0.667403
0.0,1,0.66801
0.0,1,0.668821
0.0,1,0.669586
0.0,1,0.670357
0.0,1,0.671146
0.0,1,0.67197
0.0,3,0.67351
0.0,1,0.674234
0.0,3,0.675713
0.0,3,0.678659
0.0,3,0.681198
0.0,1,0.681877
0.0,1,0.682678
0.0,1,0.68332
0.0,1,0.6841
0.0,1,0.684733
0.0,1,0.685529
0.0,1,0.686267
0.0,1,0.687091
0.0,2,0.688425
0.0,3,0.690063
0.0,1,0.690763
0.0,1,0.692366
0.0,2,0.695385
0.0,1,0.696359
0.0,1,0.697315
0.0,3,0.698906
0.0,1,0.6999
0.0,1,0.700615
0.0,2,0.701558
0.0,3,0.703206
0.0,1,0.704038
0.0,1,0.704619
0.0,1,0.705333
0.0,1,0.706253
0.0,1,0.707468
0.0,1,0.708825
0.0,4,0.712725
0.0,1,0.713676
0.0,1,0.714674
0.0,2,0.715818
0.0,1,0.716397
0.0,1,0.717007
0.0,2,0.718009
0.0,3,0.719475
0.0,1,0.720044
0.0,1,0.72085
0.0,3,0.723014
0.0,1,0.724188
0.0,4,0.728185
0.0,1,0.728892
0.0,1,0.729675
0.0,1,0.730294
0.0,2,0.731751
0.0,1,0.732671
0.0,2,0.733764
0.0,3,0.73527
0.0,2,0.736222
0.0,1,0.737123
0.0,4,0.740424
0.0,1,0.741432
0.0,1,0.742193
0.0,1,0.743175
0.0,1,0.743964
0.0,1,0.744707
0.0,1,0.74561
0.0,1,0.746533
0.0,4,0.748593
0.0,1,0.749591
0.0,2,0.750629
0.0,1,0.751238
0.0,3,0.753824
0.0,1,0.756015
0.0,1,0.757459
0.0,1,0.758625
0.0,2,0.759794
0.0,1,0.760579
0.0,1,0.761173
0.0,1,0.761738
0.0,4,0.763608
0.0,1,0.764208
0.0,1,0.764763
0.0,3,0.766248
0.0,2,0.767627
0.0,1,0.768699
0.0,2,0.770252
0.0,1,0.771144
0.0,2,0.772428
0.0,2,0.773458
0.0,3,0.775138
0.0,2,0.776208
0.0,1,0.777031
0.0,5,0.779299
0.0,1,0.779831
0.0,1,0.780407
0.0,4,0.782077
0.0,1,0.78309
0.0,3,0.786323
0.0,4,0.788467
0.0,2,0.789572
0.0,1,0.790424
0.0,1,0.791112
0.0,2,0.792102
0.0,1,0.792638
0.0,1,0.793191
0.0,1,0.793813
0.0,1,0.794493
0.0,3,0.795954
0.0,1,0.796753
0.0,1,0.797507
0.0,3,0.800002
0.0,1,0.802261
0.0,1,0.803596
0.0,4,0.806362
0.0,4,0.808336
0.0,4,0.810109
0.0,1,0.810952
0.0,1,0.811763
0.0,2,0.81289
0.0,3,0.817287
0.0,3,0.819658
0.0,1,0.820534
0.0,1,0.821424
0.0,1,0.822229
0.0,1,0.823068
0.0,1,0.823759
0.0,1,0.824484
0.0,1,0.82533
0.0,1,0.826178
0.0,1,0.826872
0.0,3,0.828467
0.0,1,0.830029
0.0,1,0.830934
0.0,4,0.833276
0.0,1,0.833941
0.0,1,0.834791
0.0,1,0.835544
0.0,1,0.836115
0.0,3,0.837521
0.0,1,0.838372
0.0,1,0.839133
0.0,4,0.840938
0.0,1,0.84146
0.0,1,0.842127
0.0,3,0.844092
0.0,4,0.849958
0.0,5,0.853067
0.0,3,0.854548
0.0,5,0.85686
0.0,1,0.857533
0.0,1,0.858266
0.0,4,0.863054
0.0,3,0.866448
0.0,1,0.867464
0.0,4,0.870238
0.0,1,0.871125
0.0,1,0.871879
0.0,4,0.873669
0.0,3,0.876309
0.0,1,0.878182
0.0,1,0.879748
0.0,1,0.880661
0.0,1,0.881612
0.0,1,0.882499
0.0,2,0.883848
0.0,2,0.885152
0.0,2,0.886607
0.0,3,0.888152
0.0,2,0.889186
0.0,1,0.890176
0.0,1,0.891248
0.0,2,1.021172
0.0,1,1.023018
0.0,1,1.024825
0.0,5,1.032649
0.0,1,1.034194
0.0,3,1.037476
0.0,1,1.038639
0.0,2,1.040066
0.0,1,1.040933
0.0,1,1.041802
0.0,1,1.042857
0.0,6,1.049699
0.0,1,1.050742
0.0,4,1.053185
0.0,1,1.053902
0.0,1,1.054662
0.0,1,1.055672
0.0,1,1.056909
0.0,2,1.05937
0.0,1,1.061987
0.0,1,1.063776
0.0,4,1.067081
0.0,2,1.068642
0.0,1,1.069995
0.0,3,1.071718
0.0,1,1.072668
0.0,5,1.077327
0.0,1,1.078348
0.0,3,1.079984
0.0,1,1.080869
0.0,3,1.082345
0.0,1,1.082978
0.0,2,1.084191
0.0,1,1.085105
0.0,1,1.085881
0.0,1,1.0865
0.0,5,1.09283
0.0,1,1.093863
0.0,4,1.096165
0.0,1,1.097013
0.0,4,1.099272
0.0,2,1.100644
0.0,3,1.103223
0.0,4,1.108284
0.0,2,1.109818
0.0,2,1.110932
0.0,1,1.111717
0.0,5,1.11433
0.0,1,1.114969
0.0,2,1.11598
0.0,4,1.118069
0.0,1,1.119099
0.0,1,1.121011
0.0,1,1.123086
0.0,3,1.125156
0.0,1,1.12603
0.0,3,1.127975
0.0,1,1.128751
0.0,1,1.129604
0.0,1,1.130523
0.0,3,1.132328
0.0,1,1.133147
0.0,1,1.134117
0.0,2,1.137492
0.0,1,1.139242
0.0,1,1.140145
0.0,1,1.140855
0.0,1,1.141461
0.0,4,1.144186
0.0,1,1.144984
0.0,1,1.146287
0.0,1,1.147568
0.0,1,1.148596
0.0,5,1.15495
0.0,1,1.155761
0.0,1,1.156406
0.0,1,1.157227
0.0,1,1.158027
0.0,1,1.158601
0.0,1,1.15948
0.0,1,1.160323
0.0,1,1.161134
0.0,2,1.162156
0.0,3,1.163596
0.0,1,1.164275
0.0,1,1.16529
0.0,1,1.167166
0.0,1,1.168722
0.0,3,1.170453
0.0,1,1.171327
0.0,1,1.172076
0.0,1,1.173026
0.0,1,1.173773
0.0,5,1.176359
0.0,1,1.176961
0.0,1,1.177577
0.0,1,1.178438
0.0,4,1.181556
0.0,1,1.183287
0.0,4,1.185376
0.0,1,1.185993
0.0,1,1.186919
0.0,1,1.187781
0.0,1,1.188812
0.0,1,1.189711
0.0,1,1.190612
0.0,1,1.191214
0.0,1,1.192022
0.0,1,1.192891
0.0,2,1.194147
0.0,5,1.202107
0.0,1,1.20364
0.0,1,1.20507
0.0,2,1.206745
0.0,1,1.207492
0.0,3,1.209412
0.0,1,1.210364
0.0,3,1.214802
0.0,1,1.216741
0.0,1,1.218023
0.0,1,1.218898
0.0,1,1.21963
0.0,1,1.220461
0.0,1,1.221097
0.0,1,1.221955
0.0,4,1.224488
0.0,1,1.225593
0.0,2,1.228976
0.0,1,1.230904
0.0,2,1.232613
0.0,2,1.233724
0.0,2,1.234824
0.0,1,1.235449
0.0,3,1.236871
0.0,1,1.237726
0.0,3,1.23915
0.0,1,1.2399
0.0,1,1.240514
0.0,3,1.243932
0.0,4,1.247437
0.0,5,1.249741
0.0,3,1.251107
0.0,1,1.251839
0.0,1,1.252444
0.0,4,1.254123
0.0,1,1.254798
0.0,1,1.255487
0.0,3,1.257565
0.0,3,1.2625
0.0,1,1.263486
0.0,2,1.264894
0.0,1,1.265734
0.0,2,1.267816
0.0,2,1.269285
0.0,4,1.272024
0.0,4,1.277153
0.0,1,1.278035
0.0,1,1.278892
0.0,3,1.280673
0.0,1,1.281469
0.0,1,1.282299
0.0,1,1.283139
0.0,1,1.284132
0.0,1,1.284814
0.0,1,1.285489
0.0,2,1.28678
0.0,1,1.288026
0.0,6,1.29285
0.0,4,1.295038
0.0,4,1.297214
0.0,3,1.298975
0.0,3,1.300699
0.0,1,1.301432
0.0,1,1.302806
0.0,1,1.305545
0.0,4,1.308218
0.0,1,1.308862
0.0,2,1.310129
0.0,4,1.312152
0.0,4,1.314523
0.0,3,1.317169
0.0,1,1.319814
0.0,1,1.321373
0.0,1,1.322763
0.0,1,1.323747
0.0,1,1.32474
0.0,1,1.325658
0.0,2,1.327005
0.0,3,1.328673
0.0,1,1.329394
0.0,5,1.332088
0.0,1,1.333302
0.0,4,1.337888
0.0,1,1.338826
0.0,1,1.339625
0.0,3,1.341061
0.0,1,1.341867
0.0,1,1.342597
0.0,5,1.345699
0.0,5,1.348507
0.0,1,1.350168
0.0,2,1.352939
0.0,1,1.35413
0.0,1,1.35485
0.0,1,1.355708
0.0,1,1.356562
0.0,1,1.357304
0.0,1,1.358156
0.0,4,1.361185
0.0,1,1.362391
0.0,1,1.363435
0.0,1,1.365372
0.0,1,1.367119
0.0,1,1.368285
0.0,1,1.369237
0.0,2,1.370736
0.0,1,1.371715
0.0,2,1.374029
0.0,3,1.377061
0.0,1,1.378174
0.0,3,1.381846
0.0,1,1.383378
0.0,1,1.384343
0.0,2,1.385987
0.0,1,1.386917
0.0,1,1.38792
0.0,1,1.388642
0.0,2,1.389706
0.0,3,1.391376
0.0,1,1.392198
0.0,3,1.393698
0.0,1,1.394632
0.0,1,1.396191
0.0,1,1.397339
0.0,2,1.398577
0.0,1,1.399201
0.0,1,1.399787
0.0,1,1.400566
0.0,1,1.401274
0.0,1,1.402101
0.0,3,1.403755
0.0,3,1.405224
0.0,2,1.406452
0.0,2,1.407463
0.0,2,1.408504
0.0,1,1.409147
0.0,1,1.410656
0.0,1,1.412391
0.0,1,1.413378
0.0,1,1.415407
0.0,1,1.41632
0.0,1,1.417202
0.0,1,1.417851
0.0,1,1.418672
0.0,1,1.419394
0.0,1,1.420173
0.0,1,1.420851
0.0,1,1.421607
0.0,1,1.422281
0.0,2,1.423371
0.0,4,1.42546
0.0,1,1.427198
0.0,1,1.429229
0.0,4,1.432233
0.0,1,1.43323
0.0,1,1.434032
0.0,3,1.435616
0.0,4,1.437566
0.0,2,1.438473
0.0,1,1.43918
0.0,2,1.440485
0.0,2,1.442706
0.0,1,1.443846
0.0,1,1.444878
0.0,1,1.445621
0.0,4,1.447547
0.0,2,1.448618
0.0,4,1.450465
0.0,1,1.451141
0.0,1,1.452037
0.0,2,1.453038
0.0,1,1.607283
0.0,1,1.610377
0.0,2,1.614272
0.0,1,1.615854
0.0,2,1.617792
0.0,3,1.620391
0.0,1,1.621169
0.0,5,1.626785
0.0,2,1.628445
0.0,1,1.629529
